Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Batuhan,2024-09-10 00:32:19,00:00:14,Autoplayed: user action: None; ,Teaser 2: The Gray Man,TEASER_TRAILER,Sony PS5,00:00:14,00:00:14,TR (Turkey)
Batuhan,2024-09-10 00:31:25,00:00:20,Autoplayed: user action: None; ,Season 6 Teaser 1: Peaky Blinders,TEASER_TRAILER,Sony PS5,00:00:20,00:00:20,TR (Turkey)
Batuhan,2024-09-10 00:31:05,00:00:17,Autoplayed: user action: None; ,Season 6 Teaser 1: Peaky Blinders,TEASER_TRAILER,Sony PS5,00:00:17,Not latest view,TR (Turkey)
Batuhan,2024-09-09 13:46:07,00:00:19,Autoplayed: user action: None; ,Altered Carbon (Trailer),TRAILER,Sony PS5,00:00:19,Not latest view,TR (Turkey)
Batuhan,2024-09-09 03:51:27,00:01:01,,Spider-Man: Homecoming_hook_primary_16x9_backfill,HOOK,Sony PS5,00:01:01,00:01:01,TR (Turkey)
Batuhan,2024-09-09 03:49:09,00:02:16,,Part 1 Trailer: Lupin,TRAILER,Sony PS5,00:02:16,Not latest view,TR (Turkey)
Batuhan,2024-09-09 03:46:37,00:02:30,,Chilling Adventures of Sabrina: Part 1 (Trailer),TRAILER,Sony PS5,00:02:30,00:02:30,TR (Turkey)
Batuhan,2024-09-09 03:45:31,00:01:04,,Shadowhunters (Trailer),TRAILER,Sony PS5,00:01:04,Not latest view,TR (Turkey)
Batuhan,2024-09-09 03:43:24,00:02:05,,Season 1 Trailer: The Sandman,TRAILER,Sony PS5,00:02:05,00:02:05,TR (Turkey)
Batuhan,2024-09-09 03:41:09,00:02:14,,Stranger Things 1 (Trailer),TRAILER,Sony PS5,00:02:14,Not latest view,TR (Turkey)
Batuhan,2024-09-09 03:39:03,00:02:04,,Season 1 Trailer: The Witcher,TRAILER,Sony PS5,00:02:04,Not latest view,TR (Turkey)
Batuhan,2024-09-09 03:38:47,00:00:14,,Brooklyn Nine-Nine: Season 1_hook_primary_16x9,HOOK,Sony PS5,00:00:14,Not latest view,TR (Turkey)
